nJunt,
Local 1,
Local 2,
Local 3,
Local 4,
Local 5,
Local 6,
Local 7,
Local 8,
Local 9,
Local 10,
Local 11,
Local 12,
Local 13,
Local 14,
Local 15,
Local 16,
Local 17,
Tlalnepantla 1,
Tlalnepantla 2,
Tlalnepantla 3,
Tlalnepantla 4,
Tlalnepantla 4 BIS,
Ecatepec 5,
Ecatepec 5 BIS,
Ecatepec 6,
Ecatepec 7,
Cuautitlan 8,
Cuautitlan 9,
Reyes 10,
Toluca 1,
Toluca 2,
Toluca 3,
Toluca 4,
Toluca 5,
Federal Toluca 29,
Tribunal Federal Toluca,
Tribunal Federal DF,
Tribunal Federal Estado,
Junta Federal DF 1,
Junta Federal DF 2,
Junta Federal DF 3,
Junta Federal DF 4,
Junta Federal DF 5,
Junta Federal DF 6,
Junta Federal DF 7,
Junta Federal DF 8,
Junta Federal DF 9,
Junta Federal DF 10,
Junta Federal DF 11,
Junta Federal DF 12,
Junta Federal DF 13,
Junta Federal DF 14,
Junta Federal DF 15,
Junta Federal DF 16,
Junta Federal DF 3 BIS,
Junta Federal DF 8 BIS,
Junta Federal DF 9 BIS,
Junta Federal DF 14 BIS,
Interior de la Rep.,
Local 18,
local 19,
local 20,
J-7 BIS FEDERAL,
TRIBUNAL ESTATAL DE TOLUCA,
FEDERAL 12 BIS,
PRIMER TRIBUNAL LABORAL TLANEPANTLA,
SEGUNDO TRIBUNAL TLANEPANTLA ALPAN,
PRIMER TRIBUNAL LABORAL DE ECATEPEC,
SEGUNDO TRIBUNAL LABORAL DE NEZAHUALCOYOTL,
PRIMER TRIBUNAL DE TEXCOCO,
CENTRO DE C. LOCAL,
CENTRO DE C. FEDERAL,
TRIBUNALES LABORALES FORANEOS,
PRIMER TRIBUNAL LABORAL FEDERAL,
SEGUNDO TRIBUNAL LABORAL FEDERAL,
TERCER TRIBUNAL LABORAL FEDERAL,
CUARTO TRIBUNAL LABORAL FEDERAL,
CUARTO TRIBUNAL LABORAL FEDERAL,
QUINTO TRIBUNAL LABORAL FEDERAL,
SEXTO TRIBUNAL LABORAL FEDERAL,
SEPTIMO TRIBUNAL LABORAL FEDERAL,
OCTAVO TRIBUNAL LABORAL FEDERAL,
NOVENO TRIBUNAL LABORAL FEDERAL,
DECIMO TRIBUNAL LABORAL FEDERAL,
DECIMOPRIMER TRIBUNAL LABORAL FEDERAL,
DECIMOSEGUNDO TRIBUNAL LABORAL FEDERAL,
DECIMOTERCERO TRIBUNAL LABORAL FEDERAL,
DECIMOCUARTO TRIBUNAL LABORAL FEDERAL,
DECIMOQUINTO TRIBUNAL LABORAL FEDERAL,
PRIMER TRIBUNAL LABORAL LOCAL,
SEGUNDO TRIBUNAL LABORAL LOCAL,
TERCER TRIBUNAL LABORAL LOCAL,
CUARTO TRIBUNAL LABORAL LOCAL,
QUINTO TRIBUNAL LABORAL LOCAL,
SEXTO TRIBUNAL LABORAL LOCAL,
SEPTIMO TRIBUNAL LABORAL LOCAL,
OCTAVO TRIBUNAL LABORAL LOCAL,
NOVENO TRIBUNAL LABORAL LOCAL,
TRIBUNAL LABORAL FEDERAL EN NAUCALPAN,
TRIBUNAL ESTATAL DE CONC. Y ARB DE ECATEPEC,
DECIMO SEXTO TRIBUNAL LABORAL FEDERAL,
SEPTIMO TRIBUNAL LABORAL FEDERAL EN NAUCALPAN,
DECIMO SEPTIMO TRIBUNAL LABORAL FEDERAL,
CITAS LIC GERARDO